split,model,train_n,test_n,test_failures,test_prevalence,retained_raw_features,average_precision,roc_auc,accuracy_at_0_5,balanced_accuracy_at_0_5,review_n,score_cutoff,precision_at_budget,recall_at_budget,false_positive_rate_at_budget,lift_at_budget,tn,fp,fn,tp
Chronological,Regularized logistic,1253,314,17,0.054140127388535034,444,0.2056327918298264,0.7884729649435532,0.89171974522293,0.5822935234699941,32,0.38696201775997313,0.15625,0.29411764705882354,0.09090909090909091,2.8860294117647056,270,27,12,5
Chronological,Constrained random forest,1253,314,17,0.054140127388535034,444,0.07545301021672021,0.5626856803327392,0.945859872611465,0.5,32,0.23838159585428761,0.0625,0.11764705882352941,0.10101010101010101,1.1544117647058822,267,30,15,2
Stratified random,Regularized logistic,1253,314,21,0.06687898089171974,450,0.1237675106133202,0.6115715910937753,0.7898089171974523,0.5337233869657078,32,0.7168558211688075,0.125,0.19047619047619047,0.09556313993174062,1.869047619047619,265,28,17,4
Stratified random,Constrained random forest,1253,314,21,0.06687898089171974,450,0.18934882260748537,0.765480253534861,0.9331210191082803,0.5,32,0.3135173014662747,0.21875,0.3333333333333333,0.08532423208191127,3.2708333333333335,268,25,14,7
